127.0.0.1 - - [30/May/2023:11:44:06 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/May/2023:11:44:06 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1462
0:0:0:0:0:0:0:1 - - [30/May/2023:11:44:06 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [30/May/2023:11:44:06 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [30/May/2023:11:44:06 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/May/2023:11:44:09 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2476
0:0:0:0:0:0:0:1 - - [30/May/2023:11:44:12 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2089
0:0:0:0:0:0:0:1 - - [30/May/2023:11:44:16 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 171
0:0:0:0:0:0:0:1 - - [30/May/2023:11:44:16 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1417
0:0:0:0:0:0:0:1 - - [30/May/2023:11:44:17 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2508
0:0:0:0:0:0:0:1 - - [30/May/2023:11:44:18 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2239
0:0:0:0:0:0:0:1 - - [30/May/2023:11:44:30 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [30/May/2023:11:44:30 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2657
0:0:0:0:0:0:0:1 - - [30/May/2023:11:44:32 +0900] "GET /BBS/view.jsp?bbsID=5 HTTP/1.1" 200 2630
0:0:0:0:0:0:0:1 - - [30/May/2023:11:44:37 +0900] "GET /BBS/deleteAction.jsp?bbsID=5 HTTP/1.1" 200 169
0:0:0:0:0:0:0:1 - - [30/May/2023:11:44:37 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2508
0:0:0:0:0:0:0:1 - - [30/May/2023:12:00:58 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2508
0:0:0:0:0:0:0:1 - - [30/May/2023:12:00:58 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1417
0:0:0:0:0:0:0:1 - - [30/May/2023:12:00:59 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1417
0:0:0:0:0:0:0:1 - - [30/May/2023:12:01:00 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2508
0:0:0:0:0:0:0:1 - - [30/May/2023:12:01:02 +0900] "GET /BBS/view.jsp?bbsID=2 HTTP/1.1" 200 2389
0:0:0:0:0:0:0:1 - - [30/May/2023:12:01:03 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2508
0:0:0:0:0:0:0:1 - - [30/May/2023:12:01:05 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 2693
0:0:0:0:0:0:0:1 - - [30/May/2023:12:01:06 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2508
0:0:0:0:0:0:0:1 - - [30/May/2023:12:01:06 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1417
0:0:0:0:0:0:0:1 - - [30/May/2023:12:01:07 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2508
0:0:0:0:0:0:0:1 - - [30/May/2023:12:01:08 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 2693
0:0:0:0:0:0:0:1 - - [30/May/2023:12:01:09 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2508
0:0:0:0:0:0:0:1 - - [30/May/2023:12:01:11 +0900] "GET /BBS/view.jsp?bbsID=2 HTTP/1.1" 200 2389
0:0:0:0:0:0:0:1 - - [30/May/2023:12:01:11 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2508
0:0:0:0:0:0:0:1 - - [30/May/2023:12:01:13 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2239
0:0:0:0:0:0:0:1 - - [30/May/2023:12:01:16 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [30/May/2023:12:01:16 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2655
0:0:0:0:0:0:0:1 - - [30/May/2023:12:01:18 +0900] "GET /BBS/view.jsp?bbsID=6 HTTP/1.1" 200 2632
0:0:0:0:0:0:0:1 - - [30/May/2023:12:01:21 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2655
0:0:0:0:0:0:0:1 - - [30/May/2023:12:01:34 +0900] "GET /BBS/view.jsp?bbsID=6 HTTP/1.1" 200 2632
0:0:0:0:0:0:0:1 - - [30/May/2023:12:01:36 +0900] "GET /BBS/deleteAction.jsp?bbsID=6 HTTP/1.1" 200 169
0:0:0:0:0:0:0:1 - - [30/May/2023:12:01:36 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2508
